name,rank,reviews,tag,price
"
Ruth's Chris Steak House
",811,107,"American,Steakhouse",$$$$
"
Federal Restaurant
",812,132,"Chinese,Asian",$$ - $$$
"
Lion Rock
",813,52,"Southwestern,Bar,Pub,Vegetarian Friendly",$$ - $$$
"
Butao Ramen (Tsim Sha Tsui)
",814,69,"Japanese,Asian,Soups",$$ - $$$
"
The Square
",815,100,"Chinese,Asian,Vegetarian Friendly",$$$$
"
The Cityview Hong Kong-City Cafe
",816,71,Chinese,$$ - $$$
"
The Great Restaurant (Tsuen Wan)
",817,38,,
"
YUM CHA (Tsimshatsui)
",818,390,"Chinese,Asian,Vegetarian Friendly",$$ - $$$
"
Maison Libanaise
",819,198,"Lebanese,Mediterranean,Middle Eastern,Vegetarian Friendly,Vegan Options,Gluten Free Options",$$ - $$$
"
Running BBQ
",820,23,,
"
Qi - Nine Dragons
",821,87,"Chinese,Asian",$$ - $$$
"
La Table de Patrick
",822,34,"French,European",$$$$
"
Hong Zhou Restaurant
",823,56,"Chinese,Asian",$$ - $$$
"
Supergiant Tapas & Cocktail Bar
",824,81,"Bar,European,Spanish,Pub",$$ - $$$
"
Essence
",825,111,"Chinese,International",$$ - $$$
"
CASA TAPAS BAR
",826,69,"Bar,International,Latin,Asian,Wine Bar",$$ - $$$
"
Modern China Restaurant (Olympian City)
",827,74,"Chinese,Asian",$$ - $$$
"
Fu Sing
",828,64,"Chinese,Asian",$$ - $$$
"
Loong Yuen Cantonese Restaurant at Holiday Inn Golden Mile
",829,124,"Chinese,Asian,Vegetarian Friendly",$$ - $$$
"
Sushi One
",830,102,"Japanese,Sushi,Asian",$$ - $$$
"
Tsui Wah
",831,143,"Chinese,Fast food,Asian,Vegetarian Friendly",$$ - $$$
"
Tao Heung
",832,159,"Chinese,Asian",$$ - $$$
"
Shanghai Garden
",833,65,"Chinese,Asian",$$ - $$$
"
Trusty Congee King (Tai On House)
",834,54,"Chinese,Asian",$$ - $$$
"
Sushi Hiro
",835,100,"Japanese,Sushi,Asian",$$ - $$$
"
Metropark Hotel Kowloon - Sip Sip Bar
",836,69,"Bar,Greek",$$ - $$$
"
Sen-ryo Century Square
",888,63,"Japanese,Sushi,Asian",$$ - $$$
"
Lobby Lounge (Marco Polo Hongkong Hotel)
",889,38,Cafe,$$ - $$$
"
Lan Fong Yuen(Central)
",890,451,"Chinese,Fast food,Asian",$
"
Teppanyaki Kaika
",891,53,"Japanese,Seafood,Sushi,Asian",$$$$
"
Wooloomooloo Prime (Causeway Bay)
",892,66,Steakhouse,$$$$
"
Dragon Wind
",893,47,"Chinese,Asian,Vegetarian Friendly",$$ - $$$
"
Hing Kee Claypot Rice Restaurant
",894,186,"Chinese,Asian",$$ - $$$
"
Tze Yuet Heen at Crowne Plaza Hong Kong Kowloon East
",895,62,"Chinese,Asian",$$ - $$$
"
Shake'em Buns
",896,74,"American,Fast food",$$ - $$$
"
Moyo
",897,32,"Asian,Korean,Vegetarian Friendly",$$ - $$$
"
Djiboutii
",898,40,"Bar,Pub,Middle Eastern",$$ - $$$
"
Shanxi Knife-Cut Noodle King
",899,50,Asian,$
"
The Alchemist Cafe Bistro (Prince Edward)
",900,51,Cafe,$$ - $$$
"
The Food Gallery
",901,76,International,$$ - $$$
"
Glasshouse
",902,111,"Bar,Asian",$$ - $$$
"
Oonami
",903,33,"Japanese,Sushi,Asian",$$ - $$$
"
Mido Cafe
",904,310,"Chinese,Cafe,Asian",$$ - $$$
"
Greyhound Cafe (Ocean Terminal)
",905,145,"Asian,Thai,Vegetarian Friendly,Vegan Options",$$ - $$$
"
Hanagushi Yakitori Japanese Restaurant
",906,38,"Japanese,Sushi,Asian",$$ - $$$
"
Dacha
",907,53,"European,Russian,Eastern European,Ukrainian,Central European,Vegetarian Friendly",$$ - $$$
"
The Promenade
",908,53,Asian,$$ - $$$
"
Loong Toh Yuen
",909,112,"Chinese,Asian",$$ - $$$
"
Ootoya Japanese Restaurant
",910,67,"Japanese,Asian",$$ - $$$
"
Luk Yu Tea House
",911,638,"Chinese,Asian",$$ - $$$
"
Yuan Is Here
",912,57,"Asian,Taiwanese,Chinese",$
"
Bulldog's Bar & Grill
",913,110,"Bar,Pub,British",$$ - $$$
"
IQ Bar
",914,33,"Bar,Fusion,European,Pub",$$ - $$$
"
Warung Malang
",915,39,"Asian,Indonesian,Halal",$
"
Tsui Wah Restaurant
",916,193,"Chinese,Fast food,Asian",$
"
Cafe De Coral (CKE Mall)
",917,29,"Chinese,Cafe,Fast food,Barbecue,Asian",$
"
Cafe on the 1st
",968,69,Asian,$$ - $$$
"
Enoteca Quarry Bay
",969,74,"Bar,Pizza,Mediterranean,European,Spanish,Pub",$$ - $$$
"
The Great Indian Kebab Factory Central
",970,56,"Indian,Asian,Vegetarian Friendly",$$ - $$$
"
Flaming Frango
",971,53,"African,Portuguese,European",$$ - $$$
"
La Piola Restaurant & Bar
",972,60,"Italian,Pizza,Mediterranean,European,Vegetarian Friendly,Vegan Options",$$$$
"
Spice Restaurant & Bar
",973,115,"Indian,Asian,Italian,Mediterranean,Halal,Vegetarian Friendly,Vegan Options",$$ - $$$
"
The Roundhouse - Taproom
",974,67,"Bar,Pub,American,Barbecue",$$ - $$$
"
Si Simply Italian
",975,41,"Italian,European,Vegetarian Friendly,Vegan Options",$$ - $$$
"
The Sky Bar
",976,70,"Bar,Seafood,Pub",$$ - $$$
"
Japanese Restaurant DORAYA
",977,47,"Japanese,Asian",$$ - $$$
"
Ganga's
",978,84,"Indian,Asian,Vegetarian Friendly,Vegan Options",$$ - $$$
"
On Lee Noodle
",979,57,"Chinese,Fast food,Asian",$
"
Sing Lum Khui Noodles
",980,112,"Chinese,Asian,Soups",$
"
Deluxe Daieiki Japanese Restaurant
",981,26,Japanese,$$ - $$$
"
Sushi Man
",982,35,Japanese,$$$$
"
Hay Hay
",983,184,"Chinese,Asian",$
"
Yue Chinese Restaurant Gold Coast Hotel
",984,43,"Chinese,Asian,Vegetarian Friendly",$$ - $$$
"
Chuk Yuen Seafood Restaurant
",985,246,"Chinese,Seafood,Asian",$$ - $$$
"
Prompt
",986,51,"European,International,Vegetarian Friendly",$$ - $$$
"
Ollie's
",987,43,Vegetarian Friendly,$$ - $$$
"
Sham Tseng Chan Kee Roasted Goose
",988,131,"Chinese,Asian",$$ - $$$
"
Grand Hill Taiwanese Restaurant
",989,36,"Chinese,Asian,Taiwanese",$$ - $$$
"
Social Place (Silvercord)
",990,32,Chinese,$$ - $$$
"
Dim Sum Bar (Gateway Arcade)
",992,128,"Chinese,Asian",$$ - $$$
"
Kishoku
",993,37,"Japanese,Sushi,Asian,Seafood",$$$$
"
Cafe Hunan
",994,38,"Chinese,Asian",$$ - $$$
"
Tea WG
",995,135,Deli,$$ - $$$
"
Zhuyuan Seafood Restaurant
",996,31,Seafood,$$ - $$$
"
Fairwood
",997,94,"Fast food,Asian",$
"
TamJai SamGor Mixian (Jordan)
",998,52,Vegetarian Friendly,$
"
Coco Ichibanya Kitchen (Langham Place)
","1,049",49,"Asian,Japanese",$$ - $$$
"
Gaia Veggie Shop
","1,050",72,"Asian,Chinese,Vegetarian Friendly,Vegan Options,Gluten Free Options",$$ - $$$
"
Wildfire (Knutsford Terrace)
","1,051",94,"Bar,Pub,Italian,Pizza",$$ - $$$
"
Mean Noodles
","1,052",18,"International,Asian,Malaysian,Vegetarian Friendly",$$ - $$$
"
12,000 Francs
","1,053",49,"Italian,French,European,Contemporary",$$ - $$$
"
Noc Coffee & Roaster
","1,054",31,Cafe,$$ - $$$
"
Al Dente(Wan Chai)
","1,055",66,"Italian,European",$$ - $$$
"
Cielo at Crowne Plaza Hong Kong Kowloon East
","1,056",96,"European,Wine Bar",$$ - $$$
"
Running Chicken Prince Edward
","1,057",42,,
"
Doraya
","1,058",41,"Japanese,Sushi,Seafood",$$ - $$$
"
Ming Garden Restaurant (Tsim Sha Tsui)
","1,059",30,Chinese,$$ - $$$
"
Mr steak buffet a la minute
","1,060",62,Seafood,$$ - $$$
"
Ramen Bari-Uma
","1,061",46,"Japanese,Asian",$$ - $$$
"
The Swiss Chalet
","1,062",136,"Swiss,European,Central European,International,Vegetarian Friendly",$$ - $$$
"
Ho Choi Seafood Restaurant (Tsim Sha Tsui)
","1,063",70,"Chinese,Seafood,Asian",$$ - $$$
"
Uptop Bistro and Bar
","1,064",31,"Italian,French,American,Spanish,Bar,International,European,Pub",$$ - $$$
"
Pak Loh Chiu Chow Restaurant
","1,065",84,"Chinese,Asian",$$ - $$$
"
The Waterfront Bar & Grill
","1,066",31,"Indian,Italian,Seafood",$$ - $$$
"
Green Common
","1,067",35,"Healthy,Vegetarian Friendly,Vegan Options,Gluten Free Options",$$ - $$$
"
Dondonya Shokudo (Telford Plaza)
","1,068",64,Japanese,$$ - $$$
"
Canton Pot
","1,069",37,"Chinese,Asian",$$ - $$$
"
Isono Suisan
","1,070",17,"Japanese,Seafood,Grill,Diner",
"
Si Yik Cha Chan Teng
","1,071",26,Chinese,$
"
Tim Kee French Sandwiches
","1,072",47,"Asian,Fast food,Vietnamese",$
"
Block 18 Doggie's Noodle (Jordan)
","1,073",89,"Chinese,Asian,Soups,Fast food",$
"
HAKU
","1,074",30,"Japanese,International,Asian",$$$$
"
BLT Burger (Causeway Bay)
","1,075",80,American,$$ - $$$
"
Satay King (Tsuen Wan)
","1,076",41,,
"
Shanghai Garden Restaurant
","1,077",52,"Chinese,Asian",$$ - $$$
"
Barg
","1,078",29,,
"
La Taste Vietnamese Cuisine
","1,129",99,"Asian,Vietnamese,Vegetarian Friendly",$$ - $$$
"
Metro Park Hotel Mongkok - Metropark Corner Cake S
","1,130",56,,
"
Jasmine Place
","1,131",72,"Chinese,Asian",$$ - $$$
"
Dining at Murasaki
","1,132",28,"French,Japanese,Contemporary,Fusion,Sushi,Asian,Vegetarian Friendly",$$$$
"
Boston Restaurant
","1,133",61,Steakhouse,$$ - $$$
"
Shine
","1,134",32,"International,Diner",$$ - $$$
"
An Nam Vietnamese Restaurant (Kowloon Tong)
","1,135",34,"Vietnamese,Asian,Vegetarian Friendly",$$ - $$$
"
La Creperie (Wanchai)
","1,136",46,"French,European,Gluten Free Options,Vegetarian Friendly",$$ - $$$
"
Lei Garden Restaurant Houston Centre
","1,137",126,"Chinese,Asian",$$ - $$$
"
Hainan Shaoye
","1,138",59,"Asian,Singaporean,Malaysian,Chinese",$$ - $$$
"
Ganbei
","1,139",31,"Japanese,Asian,Barbecue",$$ - $$$
"
Nichigyu Shabu Shabu & Sukiyaki Restaurant - Diamond Hill
","1,140",28,,
